NA69C;	by the FoldX Consortium 
NA69D;	Jesper Borg, Frederic Rousseau, Joost Schymkowitz,
NA69E;	Luis Serrano and Francois Stricher
NA69F;	------------------------------------------------------
NA69G;	
NA69H;	PDB file analysed: batch
NA69Y;	Output type: BuildModel
NA69K;	Pdb	total energy	Backbone Hbond	Sidechain Hbond	Van der Waals	Electrostatics	Solvation Polar	Solvation Hydrophobic	Van der Waals clashes	entropy sidechain	entropy mainchain	sloop_entropy	mloop_entropy	cis_bond	torsional clash	backbone clash	helix dipole	water bridge	disulfide	electrostatic kon	partial covalent bonds	energy Ionisation	Entropy Complex
NA69M;	PTEN_2018_1.pdb	1.34026	1.16831	1.08065	0.411842	3.55271e-15	-1.12449	0.0211024	0.00175103	0.000514433	-0.19736	0	0	0	-0.0208851	-0.0397298	0	0	0	0	0	-0.0011797	0
NA69L;	PTEN_2018_2.pdb	-0.612421	0.168647	0.187185	0.243016	-2.02034	1.19803	0.160041	0.0678833	-0.197147	-0.435975	0	0	0	0.0202281	-0.000419916	-0.00295538	0	0	0	0	-0.00102953	0
NA69T;	PTEN_2018_3.pdb	2.94983	1.11563	1.03969	-0.55606	-1.80118	2.85909	-0.935658	0.0804141	0.877088	0.0786409	0	0	0	-0.00932989	-0.0164756	-0.00182043	0	0	0	0	0.20332	0
NA69S;	PTEN_2018_4.pdb	8.63605	0.534806	0.805823	-1.40285	0.210188	0.225421	-2.75211	10.5667	0.286255	0.206093	0	0	0	-0.0561701	0.320932	5.53265e-05	0	0	0	0	0.011865	0
NA69V;	PTEN_2018_5.pdb	2.77153	1.3068	1.17198	1.61632	-0.00265698	-2.31547	1.51083	-0.00206009	-0.887141	0.471785	0	0	0	-0.0124369	-0.194973	0	0	0	0	0	-0.0864253	0
NA69Q;	PTEN_2018_6.pdb	5.2224	0.0543934	-0.0382694	-0.90896	-2.13163e-14	0.871186	-1.22249	5.80306	0.191285	0.308721	0	0	0	7.89674e-05	0.133069	0	0	0	0	0	0.16339	0
NA69P;	PTEN_2018_7.pdb	16.4914	-0.143167	0.166628	-1.68994	0.0849456	0.9345	-2.73708	16.8277	0.432206	0.262788	0	0	0	2.32494	0.470741	0	0	0	0	0	0.0279498	0
NA69R;	PTEN_2018_8.pdb	0.110491	-0.532298	-0.548505	-0.812631	-0.0163218	1.99865	-1.56153	0.000390276	1.35724	0.234958	0	0	0	-0.00945712	0.0508759	0	0	0	0	0	7.64722e-13	0
LA70V;	PTEN_2018_9.pdb	-0.376738	1.09709	1.0141	-1.12276	-1.7895e-07	-0.103469	-2.54468	0.0024964	1.08491	0.195651	0	0	0	-7.98274e-05	-0.0661731	-1.48875e-09	0	0	0	0	1.0405e-12	0
LA70T;	PTEN_2018_10.pdb	-0.846972	1.10241	1.02089	-0.871394	1.7895e-07	-0.10367	-2.52589	0.000581389	0.47595	0.015754	0	0	0	0.0239786	0.0213647	1.48875e-09	0	0	0	0	0.0144073	0
LA70R;	PTEN_2018_11.pdb	1.16197	1.1188	-0.0628843	0.297163	0.0259721	-0.347191	-0.108356	0.639857	-0.192358	-0.448591	0	0	0	0.240171	-0.0162357	-1.48875e-09	0	0	0	0	-0.000603515	0
